referrer,views_total,views_unique
developers.miro.com,685,137
Google,415,54
youtube.com,291,18
github.com,225,48
medium.com,15,2
miro.com,14,2
DuckDuckGo,14,1
search.brave.com,6,1
dev.to,3,1
danielfos.co,2,1
