time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-10 00:00:00+00:00,6.0,6.0,103,22
2023-04-11 00:00:00+00:00,6.0,5.0,112,33
2023-04-12 00:00:00+00:00,9.0,9.0,237,45
2023-04-13 00:00:00+00:00,7.0,7.0,121,37
2023-04-14 00:00:00+00:00,7.0,6.0,80,39
2023-04-15 00:00:00+00:00,7.0,5.0,38,15
2023-04-16 00:00:00+00:00,4.0,4.0,11,8
2023-04-17 00:00:00+00:00,8.0,8.0,80,38
2023-04-18 00:00:00+00:00,6.0,5.0,121,38
2023-04-19 00:00:00+00:00,7.0,6.0,111,39
2023-04-20 00:00:00+00:00,4.0,4.0,103,28
2023-04-21 00:00:00+00:00,71.0,43.0,318,33
2023-04-22 00:00:00+00:00,5.0,5.0,23,12
2023-04-23 00:00:00+00:00,,,65,14
