referrer,views_total,views_unique
developers.miro.com,1205,160
Google,239,52
architonic.atlassian.net,106,1
github.com,88,31
medium.com,17,4
miro.atlassian.net,12,2
yandex.ru,10,3
Bing,7,5
l.workplace.com,6,1
DuckDuckGo,4,3
