time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-31 00:00:00+00:00,4,3,78,30
2024-11-01 00:00:00+00:00,5,3,51,22
2024-11-02 00:00:00+00:00,3,2,59,23
2024-11-03 00:00:00+00:00,6,3,55,17
2024-11-04 00:00:00+00:00,7,6,77,36
2024-11-05 00:00:00+00:00,5,2,130,29
2024-11-06 00:00:00+00:00,3,2,85,32
2024-11-07 00:00:00+00:00,3,2,64,28
2024-11-08 00:00:00+00:00,5,4,111,37
2024-11-09 00:00:00+00:00,5,4,64,21
2024-11-10 00:00:00+00:00,4,3,128,21
2024-11-11 00:00:00+00:00,4,2,94,26
2024-11-12 00:00:00+00:00,2,1,93,34
2024-11-13 00:00:00+00:00,2,2,55,24
