referrer,views_total,views_unique
developers.miro.com,1656,168
Google,266,52
github.com,86,33
medium.com,19,5
miro.atlassian.net,12,2
yandex.ru,9,2
architonic.atlassian.net,9,1
l.workplace.com,6,1
Bing,4,4
DuckDuckGo,4,3
