referrer,views_total,views_unique
developers.miro.com,697,107
github.com,175,62
Google,108,28
miroapp.github.io,36,20
miro.com,15,6
medium.com,12,2
yandex.ru,7,3
Bing,5,1
libhunt.com,1,1
app.gather.town,1,1
