referrer,views_total,views_unique
developers.miro.com,1695,169
Google,276,53
github.com,105,41
medium.com,14,5
miro.atlassian.net,12,2
yandex.ru,10,3
architonic.atlassian.net,6,1
Bing,4,4
DuckDuckGo,4,3
giters.com,4,1
