time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-12 00:00:00+00:00,7,7,89,15
2024-05-13 00:00:00+00:00,8,5,466,49
2024-05-14 00:00:00+00:00,4,4,284,36
2024-05-15 00:00:00+00:00,13,9,407,31
2024-05-16 00:00:00+00:00,16,13,167,39
2024-05-17 00:00:00+00:00,4,4,279,34
2024-05-18 00:00:00+00:00,6,6,81,12
2024-05-19 00:00:00+00:00,6,6,79,16
2024-05-20 00:00:00+00:00,12,9,148,29
2024-05-21 00:00:00+00:00,5,5,229,41
2024-05-22 00:00:00+00:00,12,8,172,41
2024-05-23 00:00:00+00:00,4,4,204,40
2024-05-24 00:00:00+00:00,4,4,123,23
2024-05-25 00:00:00+00:00,1,1,153,14
