referrer,views_total,views_unique
developers.miro.com,725,154
Google,154,44
github.com,93,42
miro.com,18,7
yandex.ru,13,4
app.klaxoon.com,13,1
dev.to,5,1
medium.com,4,3
Bing,4,1
ampproject.org,3,1
