time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-12 00:00:00+00:00,6,6,84,18
2023-08-13 00:00:00+00:00,4,4,99,10
2023-08-14 00:00:00+00:00,16,13,199,27
2023-08-15 00:00:00+00:00,7,7,136,25
2023-08-16 00:00:00+00:00,9,8,436,30
2023-08-17 00:00:00+00:00,4,4,267,32
2023-08-18 00:00:00+00:00,5,5,206,29
2023-08-19 00:00:00+00:00,6,5,27,10
2023-08-20 00:00:00+00:00,7,7,69,15
2023-08-21 00:00:00+00:00,8,8,299,32
2023-08-22 00:00:00+00:00,4,4,237,29
2023-08-23 00:00:00+00:00,5,5,517,51
2023-08-24 00:00:00+00:00,4,4,576,39
2023-08-25 00:00:00+00:00,2,2,257,31
