referrer,views_total,views_unique
developers.miro.com,1443,143
Google,542,39
github.com,332,49
Bing,129,8
miroapp.github.io,80,13
search.brave.com,52,1
yandex.ru,40,2
medium.com,19,3
DuckDuckGo,15,2
cn.bing.com,12,4
