time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-22 00:00:00+00:00,3,2,25,10
2024-12-23 00:00:00+00:00,3,2,54,27
2024-12-24 00:00:00+00:00,2,1,29,11
2024-12-25 00:00:00+00:00,3,2,11,8
2024-12-26 00:00:00+00:00,6,5,34,16
2024-12-27 00:00:00+00:00,3,2,134,21
2024-12-28 00:00:00+00:00,4,3,55,17
2024-12-29 00:00:00+00:00,4,2,10,7
2024-12-30 00:00:00+00:00,2,2,44,23
2024-12-31 00:00:00+00:00,5,3,23,9
2025-01-01 00:00:00+00:00,3,3,21,9
2025-01-02 00:00:00+00:00,3,2,72,24
2025-01-03 00:00:00+00:00,6,6,82,24
2025-01-04 00:00:00+00:00,1,1,17,9
