referrer,views_total,views_unique
developers.miro.com,1177,156
Google,120,27
github.com,88,27
youtube.com,67,11
Bing,22,3
DuckDuckGo,20,3
search.brave.com,5,3
dev.to,5,1
medium.com,2,2
misha.spris.dev,1,1
