referrer,views_total,views_unique
developers.miro.com,1837,149
github.com,448,36
Google,282,43
miroapp.github.io,59,17
l.workplace.com,40,3
cn.bing.com,38,2
Bing,15,4
medium.com,9,2
yandex.ru,5,2
DuckDuckGo,4,2
