referrer,views_total,views_unique
developers.miro.com,542,136
Google,215,40
github.com,140,54
miroapp.github.io,35,16
miro-group.readme.io,32,1
Bing,17,9
DuckDuckGo,16,5
search.brave.com,12,2
medium.com,6,3
miro.com,4,3
