referrer,views_total,views_unique
developers.miro.com,832,146
Google,352,43
youtube.com,256,12
github.com,240,51
l.workplace.com,17,2
medium.com,15,2
miro.com,10,1
search.brave.com,6,1
dev.to,5,1
yandex.ru,3,1
