time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-06 00:00:00+00:00,9,7,111,39
2022-12-07 00:00:00+00:00,6,4,146,45
2022-12-08 00:00:00+00:00,7,7,242,29
2022-12-09 00:00:00+00:00,8,7,95,30
2022-12-10 00:00:00+00:00,2,2,9,6
2022-12-11 00:00:00+00:00,4,4,36,12
2022-12-12 00:00:00+00:00,3,2,119,29
2022-12-13 00:00:00+00:00,3,2,96,36
2022-12-14 00:00:00+00:00,21,13,118,37
2022-12-15 00:00:00+00:00,24,17,191,36
2022-12-16 00:00:00+00:00,9,7,129,24
2022-12-17 00:00:00+00:00,5,5,52,13
2022-12-18 00:00:00+00:00,4,4,60,14
2022-12-19 00:00:00+00:00,10,8,241,41
