time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-09 00:00:00+00:00,3,3,62,11
2022-10-10 00:00:00+00:00,5,5,163,25
2022-10-11 00:00:00+00:00,4,4,144,34
2022-10-12 00:00:00+00:00,5,5,65,31
2022-10-13 00:00:00+00:00,4,4,142,37
2022-10-14 00:00:00+00:00,3,3,48,24
2022-10-15 00:00:00+00:00,6,6,98,15
2022-10-16 00:00:00+00:00,3,3,75,14
2022-10-17 00:00:00+00:00,23,4,118,40
2022-10-18 00:00:00+00:00,4,4,117,38
2022-10-19 00:00:00+00:00,2,2,204,43
2022-10-20 00:00:00+00:00,6,5,210,43
2022-10-21 00:00:00+00:00,18,7,296,40
2022-10-22 00:00:00+00:00,2,2,130,13
