time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-20 00:00:00+00:00,5.0,5.0,28,14
2022-11-21 00:00:00+00:00,6.0,5.0,141,34
2022-11-22 00:00:00+00:00,5.0,3.0,82,36
2022-11-23 00:00:00+00:00,6.0,6.0,104,27
2022-11-24 00:00:00+00:00,6.0,6.0,156,28
2022-11-25 00:00:00+00:00,2.0,2.0,114,28
2022-11-26 00:00:00+00:00,4.0,4.0,62,13
2022-11-27 00:00:00+00:00,2.0,2.0,74,20
2022-11-28 00:00:00+00:00,4.0,4.0,87,29
2022-11-29 00:00:00+00:00,6.0,5.0,81,29
2022-11-30 00:00:00+00:00,4.0,4.0,92,32
2022-12-01 00:00:00+00:00,12.0,5.0,205,30
2022-12-02 00:00:00+00:00,5.0,5.0,204,32
2022-12-03 00:00:00+00:00,,,150,14
