referrer,views_total,views_unique
developers.miro.com,853,160
Google,303,36
github.com,166,24
youtube.com,116,13
miroapp.github.io,20,2
Bing,11,3
DuckDuckGo,3,3
yandex.ru,2,2
t.co,2,1
qwant.com,1,1
