referrer,views_total,views_unique
developers.miro.com,279,93
Google,80,24
github.com,28,15
youtube.com,15,6
community.miro.com,4,4
Bing,4,3
yandex.by,2,1
away.vk.com,2,1
yandex.ru,1,1
