referrer,views_total,views_unique
developers.miro.com,799,122
github.com,380,50
Google,299,42
miroapp.github.io,150,18
youtube.com,71,8
DuckDuckGo,18,2
ya.ru,3,1
Bing,2,2
miro.emailcms.net,2,2
editorjs.io,2,1
