referrer,views_total,views_unique
developers.miro.com,997,135
Google,291,41
github.com,100,48
miroapp.github.io,35,24
search.brave.com,23,6
miro.com,14,3
Bing,12,3
yandex.ru,6,5
medium.com,5,1
DuckDuckGo,3,3
