time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-13 00:00:00+00:00,7,7,76,13
2023-05-14 00:00:00+00:00,6,6,91,9
2023-05-15 00:00:00+00:00,10,7,400,37
2023-05-16 00:00:00+00:00,8,8,443,54
2023-05-17 00:00:00+00:00,5,5,207,36
2023-05-18 00:00:00+00:00,4,4,260,24
2023-05-19 00:00:00+00:00,11,9,290,32
2023-05-20 00:00:00+00:00,6,5,149,18
2023-05-21 00:00:00+00:00,6,5,88,13
2023-05-22 00:00:00+00:00,9,9,183,32
2023-05-23 00:00:00+00:00,18,11,275,38
2023-05-24 00:00:00+00:00,13,9,141,35
2023-05-25 00:00:00+00:00,4,4,82,24
2023-05-26 00:00:00+00:00,3,3,301,27
