referrer,views_total,views_unique
developers.miro.com,449,113
github.com,187,48
Google,160,34
miroapp.github.io,40,14
yandex.ru,13,1
medium.com,7,3
Bing,7,1
miro.com,5,3
teams.microsoft.com,4,1
t.co,4,1
