url_path,views_total,views_unique
/miroapp/app-examples,255,193
/miroapp/app-examples/tree/main/examples,148,43
/miroapp/app-examples/tree/main/examples/drag-and-drop,122,27
/miroapp/app-examples/tree/main/examples/csv-to-mindmap,106,36
/miroapp/app-examples/tree/main/examples/blob-maker,77,36
/miroapp/app-examples/tree/main/examples/ai-image-generator,41,9
/miroapp/app-examples/tree/main/examples/github-appcards,39,12
/miroapp/app-examples/tree/main/examples/jwt-auth,32,5
/miroapp/app-examples/tree/main/examples/breakout-rooms,30,7
/miroapp/app-examples/tree/main/examples/calendar,29,10
