referrer,views_total,views_unique
developers.miro.com,562,143
github.com,105,23
Google,102,45
youtube.com,87,15
statics.teams.cdn.office.net,50,3
DuckDuckGo,4,4
search.brave.com,3,3
yandex.ru,2,1
Bing,2,1
