referrer,views_total,views_unique
developers.miro.com,1637,135
Google,509,50
github.com,465,36
miroapp.github.io,111,17
Bing,74,7
yandex.ru,41,2
medium.com,19,3
DuckDuckGo,15,2
ecosia.org,11,1
statics.teams.cdn.office.net,6,4
