referrer,views_total,views_unique
developers.miro.com,351,88
Google,133,41
github.com,116,38
miroapp.github.io,65,20
miro.com,15,7
dev.to,12,1
search.brave.com,7,3
Bing,6,2
DuckDuckGo,6,2
medium.com,5,4
