referrer,views_total,views_unique
developers.miro.com,492,134
github.com,182,55
Google,175,49
miroapp.github.io,76,22
miro.com,11,5
search.brave.com,7,3
yandex.ru,5,4
Yahoo,5,2
Bing,5,1
DuckDuckGo,5,1
