referrer,views_total,views_unique
developers.miro.com,491,155
Google,91,45
github.com,71,26
youtube.com,32,13
DuckDuckGo,13,3
Bing,5,3
yandex.ru,3,2
engineering.miro.com,3,1
perplexity.ai,3,1
miroapp.github.io,2,1
