referrer,views_total,views_unique
developers.miro.com,602,154
Google,123,41
github.com,64,20
youtube.com,28,8
Bing,11,6
cn.bing.com,9,2
chatgpt.com,7,3
search.brave.com,5,2
perplexity.ai,3,2
miroapp.github.io,3,1
