referrer,views_total,views_unique
developers.miro.com,518,110
github.com,134,54
Google,102,39
miroapp.github.io,28,18
miro.com,8,4
yandex.ru,8,4
Bing,5,1
DuckDuckGo,5,1
medium.com,4,2
mail.google.com,2,1
