referrer,views_total,views_unique
developers.miro.com,471,86
github.com,235,48
Google,46,25
miroapp.github.io,31,19
miro.com,10,2
medium.com,7,2
yandex.ru,2,2
Bing,2,1
miro.emailcms.net,1,1
