time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-20 00:00:00+00:00,31,17,249,43
2022-12-21 00:00:00+00:00,31,18,208,26
2022-12-22 00:00:00+00:00,6,6,84,28
2022-12-23 00:00:00+00:00,5,5,48,20
2022-12-24 00:00:00+00:00,6,6,7,4
2022-12-25 00:00:00+00:00,3,3,77,11
2022-12-26 00:00:00+00:00,4,4,40,13
2022-12-27 00:00:00+00:00,6,6,51,14
2022-12-28 00:00:00+00:00,3,3,65,29
2022-12-29 00:00:00+00:00,11,8,106,23
2022-12-30 00:00:00+00:00,3,3,102,22
2022-12-31 00:00:00+00:00,5,5,72,12
2023-01-01 00:00:00+00:00,4,4,50,13
2023-01-02 00:00:00+00:00,5,3,84,18
