time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,3,3,204,49
2024-08-29 00:00:00+00:00,14,2,364,31
2024-08-30 00:00:00+00:00,7,3,258,33
2024-08-31 00:00:00+00:00,2,2,35,11
2024-09-01 00:00:00+00:00,4,2,40,10
2024-09-02 00:00:00+00:00,8,4,270,36
2024-09-03 00:00:00+00:00,4,3,121,32
2024-09-04 00:00:00+00:00,30,7,682,25
2024-09-05 00:00:00+00:00,3,3,264,39
2024-09-06 00:00:00+00:00,1,1,97,26
2024-09-07 00:00:00+00:00,4,4,108,11
2024-09-08 00:00:00+00:00,1,1,255,10
2024-09-09 00:00:00+00:00,3,2,171,21
2024-09-10 00:00:00+00:00,1,1,104,33
