url_path,views_total,views_unique
/miroapp/app-examples,291,197
/miroapp/app-examples/tree/main/examples,166,41
/miroapp/app-examples/tree/main/examples/csv-to-mindmap,100,24
/miroapp/app-examples/tree/main/examples/drag-and-drop,81,21
/miroapp/app-examples/tree/main/examples/blob-maker,60,28
/miroapp/app-examples/tree/main/examples/github-appcards,59,17
/miroapp/app-examples/tree/main/examples/ai-image-generator,57,14
/miroapp/app-examples/tree/main/examples/node-stickies-csv,48,8
/miroapp/app-examples/tree/main/examples/wordle,43,9
/miroapp/app-examples/tree/main/examples/csv-to-mindmap/src,35,6
