referrer,views_total,views_unique
developers.miro.com,1182,156
Google,1145,33
github.com,303,48
youtube.com,153,18
Bing,36,6
dev.to,15,13
search.brave.com,6,2
DuckDuckGo,3,3
medium.com,2,1
linkedin.com,2,1
