referrer,views_total,views_unique
developers.miro.com,797,111
Google,119,33
youtube.com,114,17
github.com,112,34
medium.com,32,2
Bing,9,6
libhunt.com,8,1
yandex.ru,5,2
statics.teams.cdn.office.net,2,1
global-flow-968541.framer.app,1,1
