url_path,views_total,views_unique
/miroapp/app-examples,256,200
/miroapp/app-examples/tree/main/examples,133,38
/miroapp/app-examples/tree/main/examples/csv-to-mindmap,99,36
/miroapp/app-examples/tree/main/examples/blob-maker,85,33
/miroapp/app-examples/tree/main/examples/drag-and-drop,74,20
/miroapp/app-examples/tree/main/examples/github-appcards,47,12
/miroapp/app-examples/tree/main/examples/nextjs-oauth,42,12
/miroapp/app-examples/tree/main/examples/nextjs-full-stack,37,7
/miroapp/app-examples/blob/main/examples/nextjs-full-stack/pages/api/redirect.js,36,4
/miroapp/app-examples/tree/main/examples/ai-image-generator,35,10
