referrer,views_total,views_unique
developers.miro.com,601,136
Google,208,46
github.com,133,44
miroapp.github.io,23,17
Bing,23,1
medium.com,15,3
yandex.ru,7,2
miro.com,5,4
trello.com,5,1
yandex.kz,4,1
