referrer,views_total,views_unique
Google,1016,48
developers.miro.com,969,147
github.com,355,45
youtube.com,186,19
dev.to,39,27
Bing,14,3
statics.teams.cdn.office.net,12,2
appfox.atlassian.net,3,1
medium.com,2,1
app-examples-wordle.vercel.app,2,1
