referrer,views_total,views_unique
developers.miro.com,1024,146
Google,197,42
github.com,180,38
youtube.com,98,10
statics.teams.cdn.office.net,16,1
chatgpt.com,12,2
miroapp.github.io,2,1
perplexity.ai,2,1
DuckDuckGo,2,1
Bing,1,1
