referrer,views_total,views_unique
developers.miro.com,1153,169
Google,248,41
youtube.com,146,9
github.com,131,34
miroapp.github.io,46,2
Bing,13,4
yandex.ru,10,2
medium.com,7,4
mail.google.com,2,1
engineering.miro.com,2,1
