time_iso8601,forks_cumulative
2022-09-07 00:00:00+00:00,162
2022-10-01 00:00:00+00:00,163
2022-10-13 00:00:00+00:00,164
2022-10-19 00:00:00+00:00,165
2022-10-27 00:00:00+00:00,166
2022-11-06 00:00:00+00:00,167
2022-11-21 00:00:00+00:00,168
2022-12-06 00:00:00+00:00,169
2022-12-19 00:00:00+00:00,170
2022-12-21 00:00:00+00:00,171
2022-12-22 00:00:00+00:00,172
2023-01-13 00:00:00+00:00,173
2023-01-16 00:00:00+00:00,174
2023-01-26 00:00:00+00:00,175
2023-01-27 00:00:00+00:00,176
2023-02-28 00:00:00+00:00,177
2023-03-03 00:00:00+00:00,178
2023-03-16 00:00:00+00:00,179
2023-03-19 00:00:00+00:00,180
2023-03-24 00:00:00+00:00,181
2023-03-27 00:00:00+00:00,182
2023-04-16 00:00:00+00:00,183
2023-04-20 00:00:00+00:00,184
2023-04-22 00:00:00+00:00,185
2023-04-26 00:00:00+00:00,186
2023-05-01 00:00:00+00:00,187
2023-05-05 00:00:00+00:00,188
2023-05-13 00:00:00+00:00,189
2023-06-22 00:00:00+00:00,190
2023-07-13 00:00:00+00:00,191
2023-07-21 00:00:00+00:00,192
2023-07-27 00:00:00+00:00,193
2023-08-09 00:00:00+00:00,194
2023-09-07 00:00:00+00:00,196
2023-09-08 00:00:00+00:00,197
