time_iso8601,stars_cumulative
2022-05-09 00:00:00+00:00,191
2022-05-16 00:00:00+00:00,192
2022-05-20 00:00:00+00:00,193
2022-06-01 00:00:00+00:00,194
2022-06-02 00:00:00+00:00,195
2022-06-07 00:00:00+00:00,196
2022-06-10 00:00:00+00:00,197
2022-06-21 00:00:00+00:00,198
2022-06-22 00:00:00+00:00,200
2022-06-23 00:00:00+00:00,201
2022-07-01 00:00:00+00:00,202
2022-07-12 00:00:00+00:00,203
2022-07-15 00:00:00+00:00,204
2022-07-31 00:00:00+00:00,205
2022-08-02 00:00:00+00:00,206
2022-08-04 00:00:00+00:00,207
2022-08-11 00:00:00+00:00,208
2022-08-12 00:00:00+00:00,209
2022-08-16 00:00:00+00:00,212
2022-08-17 00:00:00+00:00,213
2022-08-21 00:00:00+00:00,214
2022-08-24 00:00:00+00:00,215
2022-09-05 00:00:00+00:00,216
2022-09-07 00:00:00+00:00,217
2022-09-09 00:00:00+00:00,218
2022-09-27 00:00:00+00:00,219
2022-09-28 00:00:00+00:00,220
2022-10-07 00:00:00+00:00,221
2022-10-21 00:00:00+00:00,222
2022-10-22 00:00:00+00:00,223
2022-10-28 00:00:00+00:00,224
2022-10-29 00:00:00+00:00,225
2022-11-06 00:00:00+00:00,226
2022-11-10 00:00:00+00:00,227
2022-11-16 00:00:00+00:00,229
2022-11-17 00:00:00+00:00,232
2022-11-19 00:00:00+00:00,233
2022-11-23 00:00:00+00:00,234
2022-11-26 00:00:00+00:00,235
2022-11-28 00:00:00+00:00,236
2022-12-14 00:00:00+00:00,237
2022-12-15 00:00:00+00:00,239
2022-12-20 00:00:00+00:00,240
2022-12-25 00:00:00+00:00,241
2022-12-26 00:00:00+00:00,242
2023-01-05 00:00:00+00:00,243
2023-01-08 00:00:00+00:00,244
2023-01-12 00:00:00+00:00,245
2023-01-20 00:00:00+00:00,247
2023-01-26 00:00:00+00:00,249
2023-01-29 00:00:00+00:00,250
2023-02-01 00:00:00+00:00,251
2023-02-02 00:00:00+00:00,253
2023-02-06 00:00:00+00:00,254
2023-02-09 00:00:00+00:00,255
2023-02-23 00:00:00+00:00,256
2023-02-26 00:00:00+00:00,257
2023-03-02 00:00:00+00:00,258
2023-03-09 00:00:00+00:00,259
2023-03-10 00:00:00+00:00,260
2023-03-22 00:00:00+00:00,261
2023-04-01 00:00:00+00:00,262
2023-04-12 00:00:00+00:00,263
2023-04-21 00:00:00+00:00,264
2023-04-24 00:00:00+00:00,265
2023-04-29 00:00:00+00:00,266
2023-05-07 00:00:00+00:00,267
2023-05-13 00:00:00+00:00,268
2023-05-24 00:00:00+00:00,269
2023-05-28 00:00:00+00:00,270
2023-06-07 00:00:00+00:00,271
2023-06-15 00:00:00+00:00,272
2023-06-16 00:00:00+00:00,273
2023-06-29 00:00:00+00:00,274
2023-07-10 00:00:00+00:00,275
